Project ID,Project,Project Manager,Organization,Region,Plan Start,Plan Finish,OD,AD,BAC,Foreign,AC,ETC,,
58091,CM Lahore Development Program- Ravi Zone-I.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,30-Jun-26,21,5,7800.00,0,3147.00,1373.00,,
58092,CM Lahore Development Program- Ravi Zone-II.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,30-Jun-26,21,5,7000.00,0,3625.00,975.00,,
58093,CM Lahore Development Program- Data Gunj Baksh Zone.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,31-Dec-26,27,5,4700.00,0,1945.00,805.00,,
58094,CM Lahore Development Program- Samanabad Zone.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,30-Jun-27,33,5,3050.00,0,1432.00,468.00,,
58095,CM Lahore Development Program- Nishter Zone-I.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,30-Jun-26,21,5,8000.00,0,3476.00,1354.00,,
58096,CM Lahore Development Program- Nishter Zone-II.,WASA Lahore,HUD&PHED,North Single,1-Jul-24,30-Jun-26,24,6,7901.00,0,3915.00,1196.00,,
58098,CM Lahore Development Program- Wahga Zone-I.,WASA Lahore,HUD&PHED,North Single,1-Jul-24,30-Jun-26,24,6,9699.15,0,0.00,2909.15,,
58099,CM Lahore Development Program- Wahga Zone-II.,WASA Lahore,HUD&PHED,North Single,1-Jul-24,30-Jun-26,24,6,8997.48,0,1700.00,2187.48,,
58101,CM Lahore Development Program- Allama Iqbal Zone.,WASA Lahore,HUD&PHED,North Single,1-Jul-24,30-Jun-26,24,6,9600.00,0,0.00,2880.00,,
58102,CM Lahore Development Program- Aziz Bhatti Zone.,WASA Lahore,HUD&PHED,North Single,1-Jul-24,30-Jun-26,24,6,8250.00,0,0.00,2475.00,,
58237,Chief Minister’s Program for Solarization of Agricultural Tubewells in Punjab (2024-25 to 2025-26),Energy Department,Agriculture Department,Punjab Based,1-Jul-24,30-Jun-26,24,6,8826.30,0,70.00,0.00,,
58266,Apni Chhat Apna Ghar Program,Punjab Housing and Town Planning Agency (PHATA),HUD&PHED,Punjab Based,12-Aug-24,31-Dec-28,53,5,10000.00,0,75.00,9825.00,,
58520,Restoration/ Improvement of Jhang Shorkot Kabirwala Road from Aliabad Bypass to District Boundary Jhang- Length = 64.40 Km- District Jhang,Communication & Works Department,Government of Punjab,North Single,1-Jul-24,30-Jun-27,36,6,3647.06,0,2626.37,346.69,,
58814,Restoration / Improvement of Shahi Road upto Bahadurpur I/C Bypass at Khanpur and R.Y Khan Sec: Channigoth-R.Y.Khan,Communication & Works Department- Roads,Communication & Works Department- Roads,South Single,1-Sept-24,30-Jun-28,47,5,2506.87,0,2028.38,375.49,,
59027,Reconstruction/ Rehabilitation of GT road from Quaid-e-Azam Interchange (Lahore Ring Road) to Wahga Border- District Lahore,Communication & Works Department,Government of Punjab,North Single,15-Aug-24,30-Jun-27,35,5,7129.21,0,2800.00,2329.21,,
59157,Establishment of Enforcement Stations of PERA in Punjab (New Construction / Rehabilitation of existing government buildings),Communication & Works Department,S&GAD,Punjab Based,1-Jul-24,30-Jun-27,36,6,9209.43,0,1000.00,7709.43,,
59195,South Punjab Non-Formal Education Project,Literacy & Non Formal Basic Education,Literacy & Non Formal Basic Education,South Single,1-Nov-24,31-Oct-27,36,4,7555.29,0,1486.44,4529.55,,
59201,North Punjab Non-Formal Education Project,Literacy & Non Formal Basic Education,Literacy & Non Formal Basic Education,North Single,1-Nov-24,31-Oct-27,36,4,5299.14,0,972.04,3225.14,,
59552,Eco-Tourism at Changa Manga and Wetlands- Uchhali & Chashma,Communication & Works Department- Wildlife,Forestry-WildLife-Fisheries,Punjab Based,1-Jul-24,30-Jun-27,36,6,8710.57,0,0.00,2710.57,,
59746,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Allama Iqbal-II Zone- MC Lahore,LG&CD Department,LG&CD Department,North Single,1-Jul-24,29-Jun-26,24,6,9522.00,0,100.00,582.00,,
59874,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Ravi Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,27-Nov-24,30-Jun-26,19,4,8350.00,0,2400.00,500.00,,
59875,Rehabilitation / Improvement of Roads- Streets (P.C.C.) and M&R of Street Lights- Data Gunj Buksh Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,1-Jul-24,30-Jun-26,24,6,3677.00,0,900.00,177.00,,
59877,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Nishtar-I Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,1-Jul-24,30-Jun-26,24,6,8000.00,0,3000.00,500.00,,
59878,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Allama Iqbal-I Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,1-Jul-24,30-Jun-26,24,6,9000.00,0,11.55,488.45,,
59880,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Shalamar Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,27-Nov-24,30-Jun-26,19,4,2836.00,0,1600.00,136.00,,
59881,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Aziz Bhatti Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,1-Jul-24,30-Jun-26,24,6,3947.00,0,100.00,147.00,,
59882,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Wahga Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,1-Jul-24,30-Jun-26,24,6,7560.00,0,100.00,460.00,,
59884,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Nishtar-II Zone- MC Lahore,LG&CD Department,LG&CD Department,North Single,1-Jul-24,29-Jun-26,24,6,4000.00,0,1500.00,300.00,,
59926,Establishment of Garment Cities in Punjab,Communication & Works Department- Energy Department- Forestry- Wildlife & Fisheries- Punjab Industrial Estates Development & Management Company (PIEDMC)- Technical Education & Vocational Training Authority (TEVTA),Industries- Commerce & Investment,North Single,1-Jul-24,29-Jun-26,24,6,3877.86,0,2524.44,405.48,,
59988,Rehabilitation / Improvement of Pail Chowk to Uchali Road Length=55 KM District Khushab ,Communication & Works Department,Government of Punjab,North Single,1-Jul-24,30-Jun-28,49,6,3091.38,0,1100.00,1841.38,,
60018,Construction of Flyover at Khawaja Corporation at Adyala Road- District Rawalpindi.,Communication & Works Department,Government of Punjab,North Single,1-Jul-24,30-Jun-27,36,6,3407.31,0,2113.00,1239.31,,
60020,Construction of Underpass at GPO Chowk & TM Chowk on Mall Road Including Pedestrain Underpass near AFIC- District Rawalpindi,Communication & Works Department,Government of Punjab,North Single,1-Jul-24,30-Jun-27,36,6,4388.29,0,4370.29,0.00,,
60025,CM Punjab: Livestock Card,Livestock & Dairy Development Department,Government of Punjab,Punjab Based,1-Jul-24,30-Jun-26,24,6,4382.08,0,507.64,2845.81,,
64744,Capacity Building Project for Performance Improvement of the Lahore and Faisalabad Water and Sanitation Agencies- Punjab,HUD&PHED,HUD&PHED,North Single,4-Dec-24,30-Jun-27,31,3,4238.85,1,0.00,3802.85,,
65099,Construction of Additional Carriageway (Dehli - Multan Road) from Pull 114/16-R to Pir Murad Morr- Length=50.60KM- District Vehari,Communication & Works Department,Government of Punjab,South Single,31-Oct-24,30-Jun-28,45,4,8499.48,0,2200.00,3299.48,,
65395,Specialized Medical Equipment for Jinnah Institute of Cardiology- Lahore,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,1-Dec-24,17-Mar-26,16,4,6889.16,0,2333.60,0.00,,
65455,Punjab Smog Mitigation And Response Initiative – Air Safe,Environment Protection & Climate Change Department,Environment Protection & Climate Change Department,Punjab Based,14-Nov-24,30-Jun-26,20,4,5381.00,0,2000.00,0.00,,
65564,Revamping of Bansara Gali Zoological Garden- Murree,Forestry- Wildlife & Fisheries,Forestry-WildLife-Fisheries,North Single,1-Jul-24,30-Jun-27,36,6,3915.60,0,474.08,301.52,,
65819,Construction of Additional Carriageway (Dehli-Multan Road) from babar Chowk to Drammawala Morr- Length=19.20 Km ,Communication & Works Department,Communication & Works Department,South Single,17-Dec-24,30-Jun-28,43,3,3108.00,0,1000.00,0.00,,
65866,Replacement of Old / Condemned Equipment of PFSA (Phase-II),Punjab Forensic Science Agency (PFSA),Home Department,North Single,17-Dec-24,30-Jun-26,19,3,3414.50,0,0.00,2421.50,,
65877,Construction of 03 Towers for Multistorey Building for Residences of Government Officials at Chauburji Garden Estate- Multan Road- Lahore,Communication & Works Department,S&GAD,North Single,19-Dec-24,19-Dec-26,24,3,3125.42,0,0.00,3115.42,,
65920,Construction of Administrative Tower-A at Old P&D Building site- Lahore,Infrastructure Development Authority Punjab (IDAP),S&GAD,North Single,1-Apr-25,30-Jun-27,27,2,4020.40,0,2000.00,2019.40,,
65957,Community Empowerment and Strengthening of Healthcare Access through Maryam Nawaz Health Clinic,Health & Population Department,Health & Population Department,Punjab Based,1-Feb-25,30-Jun-26,17,3,9031.29,0,343.70,0.00,,
66061,CM Punjab Asaan Karobar Finance ,Punjab Small Industries Corporation (PSIC),Industries- Commerce & Investment,Punjab Based,1-Jan-25,30-Jun-32,91,3,9500.00,0,550.00,7150.00,,
66062,CM Punjab Asaan Karobar Card,Punjab Small Industries Corporation (PSIC),Industries- Commerce & Investment,Punjab Based,1-Jan-25,30-Jun-30,67,3,9500.00,0,500.00,7000.00,,
66250,Comprehensive Door-to-Door Socio-Economic Survey of Punjab For Establishing Punjab Socio-Economic Registry (PSER)-PC-II,Planning & Development Board- Punjab,Planning & Development Board- Punjab,Punjab Based,19-Feb-25,2-Jun-26,16,2,7774.31,0,158.00,0.00,,
67015,Dualization of Road from Toba Tek Singh Interchange (M-4) to Rajana Interchange (M-3)- Length=26.44 Km- District T.T.Singh,Communication & Works Department,Communication & Works Department,North Single,10-Mar-25,30-Jun-28,40,2,7770.95,0,2000.00,5570.95,,
67295,Construction of Punjab Revenue Authority (PRA) Headquarter,Infrastructure Development Authority Punjab (IDAP)- Public Buildings,Finance Department,North Single,14-Mar-25,30-Jun-26,16,2,4023.00,0,2000.00,2022.00,,
68035,Rehabilitation/ Reconstruction/ Widening of Road from N-5 (Ghousia Chowk) to-Lodhran — Jalalpur Road (Jindu Morr) Via DC Office & Pathanwala including Construction of Flyover at Pathanwala Railway Crossing- Length=3.00km- District Lodhran,Communication & Works Department,Roads,South Single,24-Mar-25,30-Jun-28,40,2,2548.03,0,0.00,2442.03,,
69528,Construction of Road from Kakuwal Bridge to Kuthyala Syedan via Baha-ud-Din Kot Baloach Drain including Flyover on Railway Line- District Mandi Baha-ud-Din,Communication & Works Department,Communication & Works Department,North Single,6-May-25,30-Jun-28,38,1,3134.18,0,0.00,2958.18,,
70258,IPF Component for Punjab Clean Air Program (PCAP),Punjab Resource Management & Policy Unit (PRMPU),Planning & Development Board- Punjab,Punjab Based,22-May-25,30-Jun-30,62,1,5700.35,1,0.00,4250.35,,
454,Construction of Tamman Dam,Irrigation,Irrigation,North Single,16-Oct-14,30-Jul-25,131,65,4232.80,0,2906.93,325.86,,
23753,PC-1 for Remaining Land Acquisition for GTC Project,Irrigation,Irrigation,Multiple Region,1-Jul-18,31-Jul-25,86,43,8171.03,0,4642.20,3527.84,,
34175,Establishment of 200 Bedded Mother & Child Hospital in District Attock,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,North Single,15-Mar-21,14-Jul-25,53,26,5320.01,0,4820.01,0.00,,
37225,Institutional Strengthening of P&D Board and Capacity Building of Public Sector Employees,Planning & Development Board- Punjab- Punjab Resource Management & Policy Unit (PRMPU),Planning & Development Board- Punjab,North Single,1-Jul-21,29-Jun-26,61,24,2637.01,0,1177.65,810.72,,
920,Sewerage System from Larechs Colony to Gulshan-e-Ravi- Lahore.,WASA Lahore,HUD&PHED,North Single,25-Jun-20,30-Jun-28,98,31,14165.06,1,231.91,13635.61,,
3288,Establishment of 100-Bedded Mother and Child Hospital- Murree (for Conversion into General Hospital),Infrastructure Development Authority Punjab (IDAP)- Specialized Healthcare and Medical Education Department,Health,North Single,1-Jul-17,28-Jun-26,109,49,4157.51,0,600.00,3556.51,,
4593,Storm Water Drainage System from Haji Camp to River Ravi via Laxmi Chowk- McLeod Road- Nabha Road- Chauburji and Sham Nagar- Lahore.,WASA Faisalabad,HUD&PHED,North Single,20-Oct-16,30-Jun-27,130,53,4066.65,0,3647.00,414.66,,
4605,Extension of Water Resources Faisalabad City Phase II (French Funded).,WASA Faisalabad,HUD&PHED,North Single,20-Sept-21,30-Sept-28,86,23,14636.93,1,4254.50,4276.76,,
11469,Establishment of Sports Complex Shalamar Lahore (LDP).,LDA,HUD&PHED,North Single,1-Jul-17,30-Jun-27,122,49,2562.76,0,1068.54,994.22,,
,,,,,,,,,,,,,,
